"city","city_ascii","state_id","state_name","lat","lng","population","density"
"North Potomac","North Potomac","MD","Maryland","39.0955","-77.2372","23914","1415"
"Pelham","Pelham","AL","Alabama","33.3114","-86.7573","23911","237"
"Corsicana","Corsicana","TX","Texas","32.0824","-96.4665","23906","401"
"Seal Beach","Seal Beach","CA","California","33.7542","-118.0714","23896","818"
"Fort Dodge","Fort Dodge","IA","Iowa","42.5098","-94.1751","23888","574"
"Dunkirk","Dunkirk","NY","New York","42.4803","-79.3323","23874","1007"
"Calabasas","Calabasas","CA","California","34.1375","-118.6689","23853","673"
"Chalmette","Chalmette","LA","Louisiana","29.9437","-89.9659","23851","1283"
"North Augusta","North Augusta","SC","South Carolina","33.5214","-81.9547","23845","448"
"Palm River-Clair Mel","Palm River-Clair Mel","FL","Florida","27.9239","-82.3791","23844","805"
"Mount Pocono","Mount Pocono","PA","Pennsylvania","41.1225","-75.3582","23820","348"
"Farragut","Farragut","TN","Tennessee","35.8731","-84.1822","23778","574"
"Jenks","Jenks","OK","Oklahoma","35.9981","-95.9737","23767","535"
"Palatka","Palatka","FL","Florida","29.6493","-81.6705","23738","413"
"Coronado","Coronado","CA","California","32.6640","-117.1600","23731","1149"
"Valinda","Valinda","CA","California","34.0401","-117.9300","23705","4544"
"Centerville","Centerville","OH","Ohio","39.6339","-84.1449","23703","834"
"Van Buren","Van Buren","AR","Arkansas","35.4480","-94.3528","23683","593"
"Greeneville","Greeneville","TN","Tennessee","36.1680","-82.8197","23683","338"
"Waycross","Waycross","GA","Georgia","31.2108","-82.3579","23671","438"
"Half Moon Bay","Half Moon Bay","CA","California","37.4688","-122.4383","23653","776"
"Belton","Belton","MO","Missouri","38.8193","-94.5334","23642","645"
"Jacksonville Beach","Jacksonville Beach","FL","Florida","30.2782","-81.4045","23628","1246"
"North Lynnwood","North Lynnwood","WA","Washington","47.8533","-122.2762","23620","2916"
"Ilion","Ilion","NY","New York","43.0114","-75.0396","23608","1187"
"Rosemont","Rosemont","CA","California","38.5477","-121.3553","23602","2084"
"Seymour","Seymour","IN","Indiana","38.9476","-85.8910","23598","634"
"Oakdale","Oakdale","CA","California","37.7616","-120.8470","23596","1473"
"Madisonville","Madisonville","KY","Kentucky","37.3408","-87.5034","23580","404"
"Romulus","Romulus","MI","Michigan","42.2237","-83.3660","23573","255"
"Cudahy","Cudahy","CA","California","33.9631","-118.1830","23569","7739"
"Copiague","Copiague","NY","New York","40.6728","-73.3932","23561","2941"
"Winter Gardens","Winter Gardens","CA","California","32.8376","-116.9268","23545","2056"
"Leland","Leland","NC","North Carolina","34.2044","-78.0277","23544","459"
